goal_id,goal_name,goal_type,target_value,unit,start_date,end_date,status
GOAL001,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2026-01-02,2028-01-02,ACTIVE
GOAL002,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-08-05,2027-08-05,ACTIVE
GOAL003,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-03-08,2027-03-08,ACTIVE
GOAL004,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2024-10-09,2026-10-09,ACTIVE
GOAL005,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2026-05-02,2028-05-01,ACTIVE
GOAL006,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-12-03,2027-12-03,ACTIVE
GOAL007,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-07-06,2027-07-06,ACTIVE
GOAL008,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-02-06,2027-02-06,ACTIVE
GOAL009,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2024-09-09,2026-09-09,ACTIVE
GOAL010,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2026-04-02,2028-04-01,ACTIVE
GOAL011,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-11-03,2027-11-03,ACTIVE
GOAL012,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-06-06,2027-06-06,ACTIVE
GOAL013,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-01-07,2027-01-07,ACTIVE
GOAL014,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2024-08-10,2026-08-10,ACTIVE
GOAL015,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2026-03-03,2028-03-02,ACTIVE
GOAL016,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-10-04,2027-10-04,ACTIVE
GOAL017,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-05-07,2027-05-07,ACTIVE
GOAL018,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2024-12-08,2026-12-08,ACTIVE
GOAL019,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2024-07-11,2026-07-11,ACTIVE
GOAL020,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2026-02-01,2028-02-01,ACTIVE
GOAL021,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-09-04,2027-09-04,ACTIVE
GOAL022,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2025-04-07,2027-04-07,ACTIVE
GOAL023,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2024-11-08,2026-11-08,ACTIVE
GOAL024,AGP Revenue Growth Goal,REVENUE_GROWTH,15.0,PERCENT,2026-06-01,2028-05-31,ACTIVE
