guardrail_event_id,event_type,severity,action,matched_rule,redacted_content,created_at
GRD001,PROMPT_INJECTION_CHECK,INFO,ALLOW_WITH_AUDIT,RULE_02,,2026-07-01T10:01:02
GRD002,SCOPE_AUTHORIZATION,INFO,ALLOW_WITH_AUDIT,RULE_03,,2026-07-01T10:02:02
GRD003,PII_REDACTION,INFO,ALLOW_WITH_AUDIT,RULE_01,,2026-07-01T10:03:02
GRD004,PROMPT_INJECTION_CHECK,ATTENTION,REDACT_AND_ALLOW,RULE_02,[REDACTED],2026-07-01T10:04:02
GRD005,SCOPE_AUTHORIZATION,INFO,ALLOW_WITH_AUDIT,RULE_03,,2026-07-01T10:05:02
GRD006,PII_REDACTION,INFO,ALLOW_WITH_AUDIT,RULE_01,,2026-07-01T10:06:02
GRD007,PROMPT_INJECTION_CHECK,INFO,ALLOW_WITH_AUDIT,RULE_02,,2026-07-01T10:07:02
GRD008,SCOPE_AUTHORIZATION,ATTENTION,REDACT_AND_ALLOW,RULE_03,[REDACTED],2026-07-01T10:08:02
GRD009,PII_REDACTION,INFO,ALLOW_WITH_AUDIT,RULE_01,,2026-07-01T10:09:02
GRD010,PROMPT_INJECTION_CHECK,INFO,ALLOW_WITH_AUDIT,RULE_02,,2026-07-01T10:10:02
