aum_id,month_end,aum_amount
AUM_A001_PER202408,2024-08-31,8850000.0
AUM_A002_PER202408,2024-08-31,9700000.0
AUM_A003_PER202408,2024-08-31,10550000.0
AUM_A004_PER202408,2024-08-31,11400000.0
AUM_A005_PER202408,2024-08-31,12250000.0
AUM_A006_PER202408,2024-08-31,13100000.0
AUM_A007_PER202408,2024-08-31,13950000.0
AUM_A008_PER202408,2024-08-31,14800000.0
AUM_A009_PER202408,2024-08-31,15650000.0
AUM_A010_PER202408,2024-08-31,16500000.0
AUM_A011_PER202408,2024-08-31,17350000.0
AUM_A012_PER202408,2024-08-31,18200000.0
AUM_A013_PER202408,2024-08-31,19050000.0
AUM_A014_PER202408,2024-08-31,19900000.0
AUM_A015_PER202408,2024-08-31,20750000.0
AUM_A016_PER202408,2024-08-31,21600000.0
AUM_A017_PER202408,2024-08-31,22450000.0
AUM_A018_PER202408,2024-08-31,23300000.0
AUM_A019_PER202408,2024-08-31,24150000.0
AUM_A020_PER202408,2024-08-31,25000000.0
AUM_A021_PER202408,2024-08-31,25850000.0
AUM_A022_PER202408,2024-08-31,26700000.0
AUM_A023_PER202408,2024-08-31,27550000.0
AUM_A024_PER202408,2024-08-31,28400000.0
AUM_A025_PER202408,2024-08-31,29250000.0
AUM_A026_PER202408,2024-08-31,30100000.0
AUM_A027_PER202408,2024-08-31,30950000.0
AUM_A028_PER202408,2024-08-31,31800000.0
AUM_A029_PER202408,2024-08-31,32650000.0
AUM_A030_PER202408,2024-08-31,33500000.0
AUM_A031_PER202408,2024-08-31,34350000.0
AUM_A032_PER202408,2024-08-31,35200000.0
AUM_A033_PER202408,2024-08-31,36050000.0
AUM_A034_PER202408,2024-08-31,36900000.0
AUM_A035_PER202408,2024-08-31,37750000.0
AUM_A036_PER202408,2024-08-31,38600000.0
AUM_A037_PER202408,2024-08-31,39450000.0
AUM_A038_PER202408,2024-08-31,40300000.0
AUM_A039_PER202408,2024-08-31,41150000.0
AUM_A040_PER202408,2024-08-31,42000000.0
AUM_A041_PER202408,2024-08-31,42850000.0
AUM_A042_PER202408,2024-08-31,43700000.0
AUM_A043_PER202408,2024-08-31,44550000.0
AUM_A044_PER202408,2024-08-31,45400000.0
AUM_A045_PER202408,2024-08-31,46250000.0
AUM_A046_PER202408,2024-08-31,47100000.0
AUM_A047_PER202408,2024-08-31,47950000.0
AUM_A048_PER202408,2024-08-31,48800000.0
AUM_A049_PER202408,2024-08-31,49650000.0
AUM_A050_PER202408,2024-08-31,50500000.0
AUM_A051_PER202408,2024-08-31,51350000.0
AUM_A052_PER202408,2024-08-31,52200000.0
AUM_A053_PER202408,2024-08-31,53050000.0
AUM_A054_PER202408,2024-08-31,53900000.0
AUM_A055_PER202408,2024-08-31,54750000.0
AUM_A056_PER202408,2024-08-31,55600000.0
AUM_A057_PER202408,2024-08-31,56450000.0
AUM_A058_PER202408,2024-08-31,57300000.0
AUM_A059_PER202408,2024-08-31,58150000.0
AUM_A060_PER202408,2024-08-31,59000000.0
AUM_A001_PER202409,2024-09-30,8903100.0
AUM_A002_PER202409,2024-09-30,9753100.0
AUM_A003_PER202409,2024-09-30,10603100.0
AUM_A004_PER202409,2024-09-30,11453100.0
AUM_A005_PER202409,2024-09-30,12303100.0
AUM_A006_PER202409,2024-09-30,13153100.0
AUM_A007_PER202409,2024-09-30,14003100.0
AUM_A008_PER202409,2024-09-30,14853100.0
AUM_A009_PER202409,2024-09-30,15703100.0
AUM_A010_PER202409,2024-09-30,16553100.0
AUM_A011_PER202409,2024-09-30,17395000.0
AUM_A012_PER202409,2024-09-30,18245000.0
AUM_A013_PER202409,2024-09-30,19095000.0
AUM_A014_PER202409,2024-09-30,19945000.0
AUM_A015_PER202409,2024-09-30,20795000.0
AUM_A016_PER202409,2024-09-30,21645000.0
AUM_A017_PER202409,2024-09-30,22495000.0
AUM_A018_PER202409,2024-09-30,23345000.0
AUM_A019_PER202409,2024-09-30,24195000.0
AUM_A020_PER202409,2024-09-30,25045000.0
AUM_A021_PER202409,2024-09-30,25895000.0
AUM_A022_PER202409,2024-09-30,26745000.0
AUM_A023_PER202409,2024-09-30,27595000.0
AUM_A024_PER202409,2024-09-30,28445000.0
AUM_A025_PER202409,2024-09-30,29295000.0
AUM_A026_PER202409,2024-09-30,30145000.0
AUM_A027_PER202409,2024-09-30,30995000.0
AUM_A028_PER202409,2024-09-30,31845000.0
AUM_A029_PER202409,2024-09-30,32695000.0
AUM_A030_PER202409,2024-09-30,33545000.0
AUM_A031_PER202409,2024-09-30,34395000.0
AUM_A032_PER202409,2024-09-30,35245000.0
AUM_A033_PER202409,2024-09-30,36095000.0
