product_revenue_id,month_end,revenue_amount
PR_A001_PER202408_0,2024-08-31,15281.0
PR_A001_PER202408_1,2024-08-31,9168.6
PR_A001_PER202408_2,2024-08-31,6112.4
PR_A002_PER202408_0,2024-08-31,15812.0
PR_A002_PER202408_1,2024-08-31,9487.2
PR_A002_PER202408_2,2024-08-31,6324.8
PR_A003_PER202408_0,2024-08-31,16343.0
PR_A003_PER202408_1,2024-08-31,9805.8
PR_A003_PER202408_2,2024-08-31,6537.2
PR_A004_PER202408_0,2024-08-31,16874.0
PR_A004_PER202408_1,2024-08-31,10124.4
PR_A004_PER202408_2,2024-08-31,6749.6
PR_A005_PER202408_0,2024-08-31,17405.0
PR_A005_PER202408_1,2024-08-31,10443.0
PR_A005_PER202408_2,2024-08-31,6962.0
PR_A006_PER202408_0,2024-08-31,17936.0
PR_A006_PER202408_1,2024-08-31,10761.6
PR_A006_PER202408_2,2024-08-31,7174.4
PR_A007_PER202408_0,2024-08-31,18467.0
PR_A007_PER202408_1,2024-08-31,11080.2
PR_A007_PER202408_2,2024-08-31,7386.8
PR_A008_PER202408_0,2024-08-31,18998.0
PR_A008_PER202408_1,2024-08-31,11398.8
PR_A008_PER202408_2,2024-08-31,7599.2
PR_A009_PER202408_0,2024-08-31,19529.0
PR_A009_PER202408_1,2024-08-31,11717.4
PR_A009_PER202408_2,2024-08-31,7811.6
PR_A010_PER202408_0,2024-08-31,20060.0
PR_A010_PER202408_1,2024-08-31,12036.0
PR_A010_PER202408_2,2024-08-31,8024.0
PR_A011_PER202408_0,2024-08-31,17450.0
PR_A011_PER202408_1,2024-08-31,10470.0
PR_A011_PER202408_2,2024-08-31,6980.0
PR_A012_PER202408_0,2024-08-31,17900.0
PR_A012_PER202408_1,2024-08-31,10740.0
PR_A012_PER202408_2,2024-08-31,7160.0
PR_A013_PER202408_0,2024-08-31,18350.0
PR_A013_PER202408_1,2024-08-31,11010.0
PR_A013_PER202408_2,2024-08-31,7340.0
PR_A014_PER202408_0,2024-08-31,18800.0
PR_A014_PER202408_1,2024-08-31,11280.0
PR_A014_PER202408_2,2024-08-31,7520.0
PR_A015_PER202408_0,2024-08-31,19250.0
PR_A015_PER202408_1,2024-08-31,11550.0
PR_A015_PER202408_2,2024-08-31,7700.0
PR_A016_PER202408_0,2024-08-31,19700.0
PR_A016_PER202408_1,2024-08-31,11820.0
PR_A016_PER202408_2,2024-08-31,7880.0
PR_A017_PER202408_0,2024-08-31,20150.0
PR_A017_PER202408_1,2024-08-31,12090.0
PR_A017_PER202408_2,2024-08-31,8060.0
PR_A018_PER202408_0,2024-08-31,20600.0
PR_A018_PER202408_1,2024-08-31,12360.0
PR_A018_PER202408_2,2024-08-31,8240.0
PR_A019_PER202408_0,2024-08-31,21050.0
PR_A019_PER202408_1,2024-08-31,12630.0
PR_A019_PER202408_2,2024-08-31,8420.0
PR_A020_PER202408_0,2024-08-31,21500.0
PR_A020_PER202408_1,2024-08-31,12900.0
PR_A020_PER202408_2,2024-08-31,8600.0
PR_A021_PER202408_0,2024-08-31,21950.0
PR_A021_PER202408_1,2024-08-31,13170.0
PR_A021_PER202408_2,2024-08-31,8780.0
PR_A022_PER202408_0,2024-08-31,22400.0
PR_A022_PER202408_1,2024-08-31,13440.0
PR_A022_PER202408_2,2024-08-31,8960.0
PR_A023_PER202408_0,2024-08-31,22850.0
PR_A023_PER202408_1,2024-08-31,13710.0
PR_A023_PER202408_2,2024-08-31,9140.0
PR_A024_PER202408_0,2024-08-31,23300.0
PR_A024_PER202408_1,2024-08-31,13980.0
PR_A024_PER202408_2,2024-08-31,9320.0
PR_A025_PER202408_0,2024-08-31,23750.0
PR_A025_PER202408_1,2024-08-31,14250.0
PR_A025_PER202408_2,2024-08-31,9500.0
PR_A026_PER202408_0,2024-08-31,24200.0
PR_A026_PER202408_1,2024-08-31,14520.0
PR_A026_PER202408_2,2024-08-31,9680.0
PR_A027_PER202408_0,2024-08-31,24650.0
PR_A027_PER202408_1,2024-08-31,14790.0
PR_A027_PER202408_2,2024-08-31,9860.0
PR_A028_PER202408_0,2024-08-31,25100.0
PR_A028_PER202408_1,2024-08-31,15060.0
PR_A028_PER202408_2,2024-08-31,10040.0
PR_A029_PER202408_0,2024-08-31,25550.0
PR_A029_PER202408_1,2024-08-31,15330.0
PR_A029_PER202408_2,2024-08-31,10220.0
PR_A030_PER202408_0,2024-08-31,26000.0
PR_A030_PER202408_1,2024-08-31,15600.0
PR_A030_PER202408_2,2024-08-31,10400.0
PR_A031_PER202408_0,2024-08-31,26450.0
PR_A031_PER202408_1,2024-08-31,15870.0
PR_A031_PER202408_2,2024-08-31,10580.0
PR_A032_PER202408_0,2024-08-31,26900.0
PR_A032_PER202408_1,2024-08-31,16140.0
PR_A032_PER202408_2,2024-08-31,10760.0
PR_A033_PER202408_0,2024-08-31,27350.0
PR_A033_PER202408_1,2024-08-31,16410.0
PR_A033_PER202408_2,2024-08-31,10940.0
PR_A034_PER202408_0,2024-08-31,27800.0
PR_A034_PER202408_1,2024-08-31,16680.0
PR_A034_PER202408_2,2024-08-31,11120.0
PR_A035_PER202408_0,2024-08-31,28250.0
PR_A035_PER202408_1,2024-08-31,16950.0
PR_A035_PER202408_2,2024-08-31,11300.0
PR_A036_PER202408_0,2024-08-31,28700.0
PR_A036_PER202408_1,2024-08-31,17220.0
PR_A036_PER202408_2,2024-08-31,11480.0
PR_A037_PER202408_0,2024-08-31,29150.0
PR_A037_PER202408_1,2024-08-31,17490.0
PR_A037_PER202408_2,2024-08-31,11660.0
PR_A038_PER202408_0,2024-08-31,29600.0
PR_A038_PER202408_1,2024-08-31,17760.0
PR_A038_PER202408_2,2024-08-31,11840.0
PR_A039_PER202408_0,2024-08-31,30050.0
PR_A039_PER202408_1,2024-08-31,18030.0
PR_A039_PER202408_2,2024-08-31,12020.0
PR_A040_PER202408_0,2024-08-31,30500.0
PR_A040_PER202408_1,2024-08-31,18300.0
PR_A040_PER202408_2,2024-08-31,12200.0
PR_A041_PER202408_0,2024-08-31,30950.0
PR_A041_PER202408_1,2024-08-31,18570.0
PR_A041_PER202408_2,2024-08-31,12380.0
PR_A042_PER202408_0,2024-08-31,31400.0
PR_A042_PER202408_1,2024-08-31,18840.0
PR_A042_PER202408_2,2024-08-31,12560.0
PR_A043_PER202408_0,2024-08-31,31850.0
PR_A043_PER202408_1,2024-08-31,19110.0
PR_A043_PER202408_2,2024-08-31,12740.0
PR_A044_PER202408_0,2024-08-31,32300.0
PR_A044_PER202408_1,2024-08-31,19380.0
PR_A044_PER202408_2,2024-08-31,12920.0
PR_A045_PER202408_0,2024-08-31,32750.0
PR_A045_PER202408_1,2024-08-31,19650.0
PR_A045_PER202408_2,2024-08-31,13100.0
PR_A046_PER202408_0,2024-08-31,33200.0
PR_A046_PER202408_1,2024-08-31,19920.0
PR_A046_PER202408_2,2024-08-31,13280.0
PR_A047_PER202408_0,2024-08-31,33650.0
PR_A047_PER202408_1,2024-08-31,20190.0
PR_A047_PER202408_2,2024-08-31,13460.0
PR_A048_PER202408_0,2024-08-31,34100.0
PR_A048_PER202408_1,2024-08-31,20460.0
PR_A048_PER202408_2,2024-08-31,13640.0
PR_A049_PER202408_0,2024-08-31,34550.0
PR_A049_PER202408_1,2024-08-31,20730.0
PR_A049_PER202408_2,2024-08-31,13820.0
PR_A050_PER202408_0,2024-08-31,35000.0
PR_A050_PER202408_1,2024-08-31,21000.0
PR_A050_PER202408_2,2024-08-31,14000.0
PR_A051_PER202408_0,2024-08-31,29069.0
PR_A051_PER202408_1,2024-08-31,17441.4
PR_A051_PER202408_2,2024-08-31,11627.6
PR_A052_PER202408_0,2024-08-31,29438.0
PR_A052_PER202408_1,2024-08-31,17662.8
PR_A052_PER202408_2,2024-08-31,11775.2
PR_A053_PER202408_0,2024-08-31,29807.0
PR_A053_PER202408_1,2024-08-31,17884.2
PR_A053_PER202408_2,2024-08-31,11922.8
PR_A054_PER202408_0,2024-08-31,30176.0
PR_A054_PER202408_1,2024-08-31,18105.6
PR_A054_PER202408_2,2024-08-31,12070.4
PR_A055_PER202408_0,2024-08-31,30545.0
PR_A055_PER202408_1,2024-08-31,18327.0
PR_A055_PER202408_2,2024-08-31,12218.0
PR_A056_PER202408_0,2024-08-31,30914.0
PR_A056_PER202408_1,2024-08-31,18548.4
PR_A056_PER202408_2,2024-08-31,12365.6
PR_A057_PER202408_0,2024-08-31,31283.0
PR_A057_PER202408_1,2024-08-31,18769.8
PR_A057_PER202408_2,2024-08-31,12513.2
PR_A058_PER202408_0,2024-08-31,31652.0
PR_A058_PER202408_1,2024-08-31,18991.2
PR_A058_PER202408_2,2024-08-31,12660.8
PR_A059_PER202408_0,2024-08-31,32021.0
PR_A059_PER202408_1,2024-08-31,19212.6
PR_A059_PER202408_2,2024-08-31,12808.4
PR_A060_PER202408_0,2024-08-31,32390.0
PR_A060_PER202408_1,2024-08-31,19434.0
PR_A060_PER202408_2,2024-08-31,12956.0
PR_A001_PER202409_0,2024-09-30,15880.98
PR_A001_PER202409_1,2024-09-30,9528.59
PR_A001_PER202409_2,2024-09-30,6352.39
PR_A002_PER202409_0,2024-09-30,16432.83
PR_A002_PER202409_1,2024-09-30,9859.7
PR_A002_PER202409_2,2024-09-30,6573.13
PR_A003_PER202409_0,2024-09-30,16984.68
PR_A003_PER202409_1,2024-09-30,10190.81
PR_A003_PER202409_2,2024-09-30,6793.87
PR_A004_PER202409_0,2024-09-30,17536.53
PR_A004_PER202409_1,2024-09-30,10521.92
PR_A004_PER202409_2,2024-09-30,7014.61
PR_A005_PER202409_0,2024-09-30,18088.38
PR_A005_PER202409_1,2024-09-30,10853.03
PR_A005_PER202409_2,2024-09-30,7235.35
PR_A006_PER202409_0,2024-09-30,18640.23
PR_A006_PER202409_1,2024-09-30,11184.14
PR_A006_PER202409_2,2024-09-30,7456.09
PR_A007_PER202409_0,2024-09-30,19192.08
PR_A007_PER202409_1,2024-09-30,11515.25
PR_A007_PER202409_2,2024-09-30,7676.83
PR_A008_PER202409_0,2024-09-30,19743.93
PR_A008_PER202409_1,2024-09-30,11846.36
PR_A008_PER202409_2,2024-09-30,7897.57
PR_A009_PER202409_0,2024-09-30,20295.77
PR_A009_PER202409_1,2024-09-30,12177.46
