notification_id,notification_type,title,message,severity,status,created_at,due_date
NOTIF_A001,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,CRITICAL,UNREAD,2026-07-01,2026-07-08
NOTIF_A002,RECOMMENDATION,Urgent advisor action,Review the latest recommendation and evidence.,CRITICAL,UNREAD,2026-07-01,2026-07-08
NOTIF_A003,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,CRITICAL,UNREAD,2026-07-01,2026-07-08
NOTIF_A004,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,CRITICAL,UNREAD,2026-07-01,2026-07-08
NOTIF_A005,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A006,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A007,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A008,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A009,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A010,RECOMMENDATION,Urgent advisor action,Review the latest recommendation and evidence.,URGENT,UNREAD,2026-07-01,2026-07-08
NOTIF_A011,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A012,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A013,RECOMMENDATION,Urgent advisor action,Review the latest recommendation and evidence.,URGENT,UNREAD,2026-07-01,2026-07-08
NOTIF_A014,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A015,RECOMMENDATION,Urgent advisor action,Review the latest recommendation and evidence.,URGENT,UNREAD,2026-07-01,2026-07-08
NOTIF_A016,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A017,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A018,RECOMMENDATION,Urgent advisor action,Review the latest recommendation and evidence.,URGENT,UNREAD,2026-07-01,2026-07-08
NOTIF_A019,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A020,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A021,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A022,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A023,RECOMMENDATION,Urgent advisor action,Review the latest recommendation and evidence.,URGENT,UNREAD,2026-07-01,2026-07-08
NOTIF_A024,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A025,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A026,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A027,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A028,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A029,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A030,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A031,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A032,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A033,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A034,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A035,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A036,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A037,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A038,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A039,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
