outcome_id,outcome_type,outcome_value,outcome_unit,observed_at,notes
OUT_A001,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A003,REVENUE_IMPACT,17400.25,USD,2026-07-01,Simulated observed outcome.
OUT_A004,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A006,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A008,REVENUE_IMPACT,20279.0,USD,2026-07-01,Simulated observed outcome.
OUT_A009,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A011,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A013,REVENUE_IMPACT,25607.75,USD,2026-07-01,Simulated observed outcome.
OUT_A014,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A016,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A018,REVENUE_IMPACT,28486.5,USD,2026-07-01,Simulated observed outcome.
OUT_A019,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A021,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A023,REVENUE_IMPACT,27445.25,USD,2026-07-01,Simulated observed outcome.
OUT_A024,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A026,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A028,REVENUE_IMPACT,21651.0,USD,2026-07-01,Simulated observed outcome.
OUT_A029,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A031,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A033,REVENUE_IMPACT,22814.75,USD,2026-07-01,Simulated observed outcome.
OUT_A034,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A036,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A038,REVENUE_IMPACT,23978.5,USD,2026-07-01,Simulated observed outcome.
OUT_A039,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A041,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A043,REVENUE_IMPACT,21222.25,USD,2026-07-01,Simulated observed outcome.
OUT_A044,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A046,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A048,REVENUE_IMPACT,22386.0,USD,2026-07-01,Simulated observed outcome.
OUT_A049,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A051,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A053,REVENUE_IMPACT,29429.75,USD,2026-07-01,Simulated observed outcome.
OUT_A054,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A056,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
OUT_A058,REVENUE_IMPACT,30593.5,USD,2026-07-01,Simulated observed outcome.
OUT_A059,REVENUE_IMPACT,0,USD,2026-07-01,Simulated observed outcome.
