similarity_id,entity_type,source_entity_id,target_entity_id,model_version,similarity_score,reason_json,generated_at
SIM_A001_A010,ADVISOR,A001,A010,v1.0,0.73,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A002_A011,ADVISOR,A002,A011,v1.0,0.74,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A003_A012,ADVISOR,A003,A012,v1.0,0.75,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A004_A013,ADVISOR,A004,A013,v1.0,0.76,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A005_A014,ADVISOR,A005,A014,v1.0,0.77,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A006_A015,ADVISOR,A006,A015,v1.0,0.78,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A007_A016,ADVISOR,A007,A016,v1.0,0.79,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A008_A017,ADVISOR,A008,A017,v1.0,0.8,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A009_A018,ADVISOR,A009,A018,v1.0,0.81,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A010_A019,ADVISOR,A010,A019,v1.0,0.82,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A011_A020,ADVISOR,A011,A020,v1.0,0.83,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A012_A021,ADVISOR,A012,A021,v1.0,0.84,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A013_A022,ADVISOR,A013,A022,v1.0,0.85,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A014_A023,ADVISOR,A014,A023,v1.0,0.86,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A015_A024,ADVISOR,A015,A024,v1.0,0.87,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A016_A025,ADVISOR,A016,A025,v1.0,0.88,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A017_A026,ADVISOR,A017,A026,v1.0,0.89,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A018_A027,ADVISOR,A018,A027,v1.0,0.9,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A019_A028,ADVISOR,A019,A028,v1.0,0.91,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A020_A029,ADVISOR,A020,A029,v1.0,0.72,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A021_A030,ADVISOR,A021,A030,v1.0,0.73,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A022_A031,ADVISOR,A022,A031,v1.0,0.74,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
SIM_A023_A032,ADVISOR,A023,A032,v1.0,0.75,"[""AUM range"", ""product mix"", ""CRM activity"", ""tenure""]",2026-07-01
