from_id,to_id
ADV0001,MKT010101
ADV0002,MKT010101
ADV0003,MKT010101
ADV0004,MKT010101
ADV0005,MKT010101
ADV0006,MKT010101
ADV0007,MKT010101
ADV0008,MKT010102
ADV0009,MKT010102
ADV0010,MKT010102
ADV0011,MKT010102
ADV0012,MKT010102
ADV0013,MKT010102
ADV0014,MKT010102
ADV0015,MKT010201
ADV0016,MKT010201
ADV0017,MKT010201
ADV0018,MKT010201
ADV0019,MKT010201
ADV0020,MKT010201
ADV0021,MKT010201
ADV0022,MKT010202
ADV0023,MKT010202
ADV0024,MKT010202
ADV0025,MKT010202
ADV0026,MKT010202
ADV0027,MKT010202
ADV0028,MKT010202
ADV0029,MKT010301
ADV0030,MKT010301
ADV0031,MKT010301
ADV0032,MKT010301
ADV0033,MKT010301
ADV0034,MKT010301
ADV0035,MKT010301
ADV0036,MKT010302
ADV0037,MKT010302
ADV0038,MKT010302
ADV0039,MKT010302
ADV0040,MKT010302
ADV0041,MKT010302
ADV0042,MKT010302
ADV0043,MKT020101
ADV0044,MKT020101
ADV0045,MKT020101
ADV0046,MKT020101
ADV0047,MKT020101
ADV0048,MKT020101
ADV0049,MKT020101
ADV0050,MKT020102
ADV0051,MKT020102
ADV0052,MKT020102
ADV0053,MKT020102
ADV0054,MKT020102
ADV0055,MKT020102
ADV0056,MKT020102
ADV0057,MKT020201
ADV0058,MKT020201
ADV0059,MKT020201
ADV0060,MKT020201
ADV0061,MKT020201
ADV0062,MKT020201
ADV0063,MKT020201
ADV0064,MKT020202
ADV0065,MKT020202
ADV0066,MKT020202
ADV0067,MKT020202
ADV0068,MKT020202
ADV0069,MKT020202
ADV0070,MKT020202
ADV0071,MKT020301
ADV0072,MKT020301
ADV0073,MKT020301
ADV0074,MKT020301
ADV0075,MKT020301
ADV0076,MKT020301
ADV0077,MKT020301
ADV0078,MKT020302
ADV0079,MKT020302
ADV0080,MKT020302
ADV0081,MKT020302
ADV0082,MKT020302
ADV0083,MKT020302
ADV0084,MKT020302
ADV0085,MKT030101
ADV0086,MKT030101
ADV0087,MKT030101
ADV0088,MKT030101
ADV0089,MKT030101
ADV0090,MKT030101
ADV0091,MKT030101
ADV0092,MKT030102
ADV0093,MKT030102
ADV0094,MKT030102
ADV0095,MKT030102
ADV0096,MKT030102
ADV0097,MKT030102
ADV0098,MKT030102
ADV0099,MKT030201
ADV0100,MKT030201
ADV0101,MKT030201
ADV0102,MKT030201
ADV0103,MKT030201
ADV0104,MKT030201
ADV0105,MKT030201
ADV0106,MKT030202
ADV0107,MKT030202
ADV0108,MKT030202
ADV0109,MKT030202
ADV0110,MKT030202
ADV0111,MKT030202
ADV0112,MKT030202
ADV0113,MKT030301
ADV0114,MKT030301
ADV0115,MKT030301
ADV0116,MKT030301
ADV0117,MKT030301
ADV0118,MKT030301
ADV0119,MKT030301
ADV0120,MKT030302
ADV0121,MKT030302
ADV0122,MKT030302
ADV0123,MKT030302
ADV0124,MKT030302
ADV0125,MKT030302
ADV0126,MKT030302
ADV0127,MKT040101
ADV0128,MKT040101
ADV0129,MKT040101
ADV0130,MKT040101
ADV0131,MKT040101
ADV0132,MKT040101
ADV0133,MKT040101
ADV0134,MKT040102
ADV0135,MKT040102
ADV0136,MKT040102
ADV0137,MKT040102
ADV0138,MKT040102
ADV0139,MKT040102
ADV0140,MKT040102
ADV0141,MKT040201
ADV0142,MKT040201
ADV0143,MKT040201
ADV0144,MKT040201
ADV0145,MKT040201
ADV0146,MKT040201
ADV0147,MKT040201
ADV0148,MKT040202
ADV0149,MKT040202
ADV0150,MKT040202
ADV0151,MKT040202
ADV0152,MKT040202
ADV0153,MKT040202
ADV0154,MKT040202
ADV0155,MKT040301
ADV0156,MKT040301
ADV0157,MKT040301
ADV0158,MKT040301
ADV0159,MKT040301
ADV0160,MKT040301
ADV0161,MKT040301
ADV0162,MKT040302
ADV0163,MKT040302
ADV0164,MKT040302
ADV0165,MKT040302
ADV0166,MKT040302
ADV0167,MKT040302
ADV0168,MKT040302
