from_id,to_id
ADV0001,HH00001
ADV0001,HH00002
ADV0001,HH00003
ADV0001,HH00004
ADV0001,HH00005
ADV0001,HH00006
ADV0001,HH00007
ADV0001,HH00008
ADV0001,HH00009
ADV0001,HH00010
ADV0001,HH00011
ADV0001,HH00012
ADV0001,HH00013
ADV0001,HH00014
ADV0001,HH00015
ADV0001,HH00016
ADV0001,HH00017
ADV0001,HH00018
ADV0002,HH00019
ADV0002,HH00020
ADV0002,HH00021
ADV0002,HH00022
ADV0002,HH00023
ADV0002,HH00024
ADV0002,HH00025
ADV0002,HH00026
ADV0002,HH00027
ADV0002,HH00028
ADV0002,HH00029
ADV0002,HH00030
ADV0002,HH00031
ADV0002,HH00032
ADV0002,HH00033
ADV0002,HH00034
ADV0002,HH00035
ADV0003,HH00036
ADV0003,HH00037
ADV0003,HH00038
ADV0003,HH00039
ADV0003,HH00040
ADV0003,HH00041
ADV0003,HH00042
ADV0003,HH00043
ADV0003,HH00044
ADV0003,HH00045
ADV0003,HH00046
ADV0003,HH00047
ADV0003,HH00048
ADV0003,HH00049
ADV0003,HH00050
ADV0003,HH00051
ADV0004,HH00052
ADV0004,HH00053
ADV0004,HH00054
ADV0004,HH00055
ADV0004,HH00056
ADV0004,HH00057
ADV0004,HH00058
ADV0004,HH00059
ADV0004,HH00060
ADV0004,HH00061
ADV0004,HH00062
ADV0004,HH00063
ADV0004,HH00064
ADV0004,HH00065
ADV0005,HH00066
ADV0005,HH00067
ADV0005,HH00068
ADV0005,HH00069
ADV0005,HH00070
ADV0005,HH00071
ADV0005,HH00072
ADV0005,HH00073
ADV0005,HH00074
ADV0005,HH00075
ADV0005,HH00076
ADV0005,HH00077
ADV0006,HH00078
ADV0006,HH00079
ADV0006,HH00080
ADV0006,HH00081
ADV0006,HH00082
ADV0006,HH00083
ADV0006,HH00084
ADV0006,HH00085
ADV0006,HH00086
ADV0006,HH00087
ADV0006,HH00088
ADV0006,HH00089
ADV0006,HH00090
ADV0006,HH00091
ADV0006,HH00092
ADV0006,HH00093
ADV0006,HH00094
ADV0006,HH00095
ADV0007,HH00096
ADV0007,HH00097
ADV0007,HH00098
ADV0007,HH00099
ADV0007,HH00100
ADV0007,HH00101
ADV0007,HH00102
ADV0007,HH00103
ADV0007,HH00104
ADV0007,HH00105
ADV0007,HH00106
ADV0007,HH00107
ADV0007,HH00108
ADV0008,HH00109
ADV0008,HH00110
ADV0008,HH00111
ADV0008,HH00112
ADV0008,HH00113
ADV0008,HH00114
ADV0008,HH00115
ADV0008,HH00116
ADV0008,HH00117
ADV0008,HH00118
ADV0008,HH00119
ADV0008,HH00120
ADV0008,HH00121
ADV0008,HH00122
ADV0008,HH00123
ADV0008,HH00124
ADV0008,HH00125
ADV0009,HH00126
ADV0009,HH00127
ADV0009,HH00128
ADV0009,HH00129
ADV0009,HH00130
ADV0009,HH00131
ADV0009,HH00132
ADV0009,HH00133
ADV0009,HH00134
ADV0009,HH00135
ADV0009,HH00136
ADV0009,HH00137
ADV0009,HH00138
ADV0009,HH00139
ADV0009,HH00140
ADV0009,HH00141
ADV0009,HH00142
ADV0009,HH00143
ADV0010,HH00144
ADV0010,HH00145
ADV0010,HH00146
ADV0010,HH00147
ADV0010,HH00148
ADV0010,HH00149
ADV0010,HH00150
ADV0010,HH00151
ADV0010,HH00152
ADV0010,HH00153
ADV0010,HH00154
ADV0010,HH00155
ADV0010,HH00156
ADV0010,HH00157
ADV0010,HH00158
ADV0010,HH00159
ADV0010,HH00160
ADV0011,HH00161
ADV0011,HH00162
ADV0011,HH00163
ADV0011,HH00164
ADV0011,HH00165
ADV0011,HH00166
ADV0011,HH00167
ADV0011,HH00168
ADV0011,HH00169
ADV0011,HH00170
ADV0011,HH00171
ADV0011,HH00172
ADV0011,HH00173
ADV0012,HH00174
ADV0012,HH00175
ADV0012,HH00176
ADV0012,HH00177
ADV0012,HH00178
ADV0012,HH00179
ADV0012,HH00180
ADV0012,HH00181
ADV0012,HH00182
ADV0012,HH00183
ADV0012,HH00184
ADV0012,HH00185
ADV0012,HH00186
ADV0013,HH00187
ADV0013,HH00188
ADV0013,HH00189
ADV0013,HH00190
ADV0013,HH00191
ADV0013,HH00192
ADV0013,HH00193
ADV0013,HH00194
ADV0013,HH00195
ADV0013,HH00196
ADV0013,HH00197
ADV0013,HH00198
ADV0013,HH00199
ADV0013,HH00200
ADV0013,HH00201
ADV0013,HH00202
ADV0013,HH00203
ADV0013,HH00204
ADV0014,HH00205
ADV0014,HH00206
ADV0014,HH00207
ADV0014,HH00208
ADV0014,HH00209
ADV0014,HH00210
ADV0014,HH00211
ADV0014,HH00212
ADV0014,HH00213
ADV0014,HH00214
ADV0014,HH00215
ADV0015,HH00216
ADV0015,HH00217
ADV0015,HH00218
ADV0015,HH00219
ADV0015,HH00220
ADV0015,HH00221
ADV0015,HH00222
ADV0015,HH00223
ADV0015,HH00224
ADV0015,HH00225
ADV0015,HH00226
ADV0015,HH00227
ADV0015,HH00228
ADV0015,HH00229
ADV0015,HH00230
ADV0016,HH00231
ADV0016,HH00232
ADV0016,HH00233
ADV0016,HH00234
ADV0016,HH00235
ADV0016,HH00236
ADV0016,HH00237
ADV0016,HH00238
ADV0016,HH00239
ADV0016,HH00240
ADV0016,HH00241
ADV0017,HH00242
ADV0017,HH00243
ADV0017,HH00244
ADV0017,HH00245
ADV0017,HH00246
ADV0017,HH00247
ADV0017,HH00248
ADV0017,HH00249
ADV0017,HH00250
ADV0017,HH00251
ADV0017,HH00252
ADV0018,HH00253
ADV0018,HH00254
ADV0018,HH00255
ADV0018,HH00256
ADV0018,HH00257
ADV0018,HH00258
ADV0018,HH00259
ADV0018,HH00260
ADV0018,HH00261
ADV0018,HH00262
ADV0018,HH00263
ADV0018,HH00264
ADV0018,HH00265
ADV0018,HH00266
ADV0018,HH00267
ADV0019,HH00268
ADV0019,HH00269
ADV0019,HH00270
ADV0019,HH00271
ADV0019,HH00272
ADV0019,HH00273
ADV0019,HH00274
ADV0019,HH00275
ADV0019,HH00276
ADV0019,HH00277
ADV0019,HH00278
ADV0019,HH00279
ADV0019,HH00280
ADV0019,HH00281
ADV0019,HH00282
ADV0019,HH00283
ADV0019,HH00284
ADV0019,HH00285
ADV0020,HH00286
ADV0020,HH00287
ADV0020,HH00288
ADV0020,HH00289
ADV0020,HH00290
ADV0020,HH00291
ADV0020,HH00292
ADV0020,HH00293
ADV0020,HH00294
ADV0020,HH00295
ADV0020,HH00296
ADV0020,HH00297
ADV0020,HH00298
ADV0020,HH00299
ADV0021,HH00300
ADV0021,HH00301
ADV0021,HH00302
ADV0021,HH00303
