from_id,to_id
HH00001,ACCT000001
HH00001,ACCT000002
HH00001,ACCT000003
HH00002,ACCT000004
HH00002,ACCT000005
HH00003,ACCT000006
HH00003,ACCT000007
HH00003,ACCT000008
HH00004,ACCT000009
HH00004,ACCT000010
HH00004,ACCT000011
HH00005,ACCT000012
HH00005,ACCT000013
HH00005,ACCT000014
HH00006,ACCT000015
HH00006,ACCT000016
HH00007,ACCT000017
HH00007,ACCT000018
HH00007,ACCT000019
HH00008,ACCT000020
HH00008,ACCT000021
HH00009,ACCT000022
HH00009,ACCT000023
HH00010,ACCT000024
HH00010,ACCT000025
HH00010,ACCT000026
HH00010,ACCT000027
HH00011,ACCT000028
HH00011,ACCT000029
HH00011,ACCT000030
HH00012,ACCT000031
HH00012,ACCT000032
HH00013,ACCT000033
HH00013,ACCT000034
HH00013,ACCT000035
HH00013,ACCT000036
HH00014,ACCT000037
HH00014,ACCT000038
HH00014,ACCT000039
HH00014,ACCT000040
HH00015,ACCT000041
HH00015,ACCT000042
HH00015,ACCT000043
HH00016,ACCT000044
HH00016,ACCT000045
HH00016,ACCT000046
HH00016,ACCT000047
HH00017,ACCT000048
HH00017,ACCT000049
HH00017,ACCT000050
HH00017,ACCT000051
HH00018,ACCT000052
HH00018,ACCT000053
HH00018,ACCT000054
HH00018,ACCT000055
HH00019,ACCT000056
HH00019,ACCT000057
HH00019,ACCT000058
HH00020,ACCT000059
HH00020,ACCT000060
HH00020,ACCT000061
HH00021,ACCT000062
HH00021,ACCT000063
HH00021,ACCT000064
HH00022,ACCT000065
HH00022,ACCT000066
HH00022,ACCT000067
HH00022,ACCT000068
HH00023,ACCT000069
HH00023,ACCT000070
HH00023,ACCT000071
HH00023,ACCT000072
HH00024,ACCT000073
HH00024,ACCT000074
HH00024,ACCT000075
HH00025,ACCT000076
HH00025,ACCT000077
HH00026,ACCT000078
HH00026,ACCT000079
HH00027,ACCT000080
HH00027,ACCT000081
HH00027,ACCT000082
HH00028,ACCT000083
HH00028,ACCT000084
HH00028,ACCT000085
HH00029,ACCT000086
HH00029,ACCT000087
HH00029,ACCT000088
HH00030,ACCT000089
HH00030,ACCT000090
HH00031,ACCT000091
HH00031,ACCT000092
HH00031,ACCT000093
HH00031,ACCT000094
HH00032,ACCT000095
HH00032,ACCT000096
HH00032,ACCT000097
HH00033,ACCT000098
HH00033,ACCT000099
HH00033,ACCT000100
HH00034,ACCT000101
HH00034,ACCT000102
HH00034,ACCT000103
HH00035,ACCT000104
HH00035,ACCT000105
HH00035,ACCT000106
HH00035,ACCT000107
HH00036,ACCT000108
HH00036,ACCT000109
HH00037,ACCT000110
HH00037,ACCT000111
HH00037,ACCT000112
HH00038,ACCT000113
HH00038,ACCT000114
HH00039,ACCT000115
HH00039,ACCT000116
HH00039,ACCT000117
HH00040,ACCT000118
HH00040,ACCT000119
HH00040,ACCT000120
