memory_id,memory_type,scope_type,scope_id,title,summary,facts_json,confidence,valid_from,valid_to,created_ts,source,status,advisor_id
MEM00000001,Advisor Memory,Advisor,ADV0001,Advisor Memory for ADV0001,Prior recommendation feedback improved ranking weight.,"{""advisor_id"": ""ADV0001"", ""managed_revenue_pct"": 27.15, ""crm_activity_count"": 69}",0.9209,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0001
MEM00000002,Revenue Memory,Advisor,ADV0001,Revenue Memory for ADV0001,Prior recommendation feedback improved ranking weight.,"{""advisor_id"": ""ADV0001"", ""managed_revenue_pct"": 27.15, ""crm_activity_count"": 69}",0.774,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0001
MEM00000003,CRM Memory,Advisor,ADV0001,CRM Memory for ADV0001,Recent CRM activity indicates client engagement gap.,"{""advisor_id"": ""ADV0001"", ""managed_revenue_pct"": 27.15, ""crm_activity_count"": 69}",0.8501,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0001
MEM00000004,Recommendation Memory,Advisor,ADV0001,Recommendation Memory for ADV0001,Prior recommendation feedback improved ranking weight.,"{""advisor_id"": ""ADV0001"", ""managed_revenue_pct"": 27.15, ""crm_activity_count"": 69}",0.9154,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0001
MEM00000005,Advisor Memory,Advisor,ADV0002,Advisor Memory for ADV0002,Advisor has recurring managed revenue opportunity.,"{""advisor_id"": ""ADV0002"", ""managed_revenue_pct"": 26.95, ""crm_activity_count"": 65}",0.8132,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0002
MEM00000006,Revenue Memory,Advisor,ADV0002,Revenue Memory for ADV0002,Advisor has recurring managed revenue opportunity.,"{""advisor_id"": ""ADV0002"", ""managed_revenue_pct"": 26.95, ""crm_activity_count"": 65}",0.778,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0002
MEM00000007,CRM Memory,Advisor,ADV0002,CRM Memory for ADV0002,Advisor has recurring managed revenue opportunity.,"{""advisor_id"": ""ADV0002"", ""managed_revenue_pct"": 26.95, ""crm_activity_count"": 65}",0.715,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0002
MEM00000008,Recommendation Memory,Advisor,ADV0002,Recommendation Memory for ADV0002,AGP goal progress requires manager review.,"{""advisor_id"": ""ADV0002"", ""managed_revenue_pct"": 26.95, ""crm_activity_count"": 65}",0.7776,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0002
MEM00000009,Advisor Memory,Advisor,ADV0003,Advisor Memory for ADV0003,Recent CRM activity indicates client engagement gap.,"{""advisor_id"": ""ADV0003"", ""managed_revenue_pct"": 26.84, ""crm_activity_count"": 62}",0.7859,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0003
MEM00000010,Revenue Memory,Advisor,ADV0003,Revenue Memory for ADV0003,AGP goal progress requires manager review.,"{""advisor_id"": ""ADV0003"", ""managed_revenue_pct"": 26.84, ""crm_activity_count"": 62}",0.8993,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0003
MEM00000011,CRM Memory,Advisor,ADV0003,CRM Memory for ADV0003,AGP goal progress requires manager review.,"{""advisor_id"": ""ADV0003"", ""managed_revenue_pct"": 26.84, ""crm_activity_count"": 62}",0.8963,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0003
MEM00000012,Recommendation Memory,Advisor,ADV0003,Recommendation Memory for ADV0003,Prior recommendation feedback improved ranking weight.,"{""advisor_id"": ""ADV0003"", ""managed_revenue_pct"": 26.84, ""crm_activity_count"": 62}",0.8376,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0003
MEM00000013,Advisor Memory,Advisor,ADV0004,Advisor Memory for ADV0004,AGP goal progress requires manager review.,"{""advisor_id"": ""ADV0004"", ""managed_revenue_pct"": 33.63, ""crm_activity_count"": 57}",0.8476,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0004
MEM00000014,Revenue Memory,Advisor,ADV0004,Revenue Memory for ADV0004,Recent CRM activity indicates client engagement gap.,"{""advisor_id"": ""ADV0004"", ""managed_revenue_pct"": 33.63, ""crm_activity_count"": 57}",0.7737,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0004
MEM00000015,CRM Memory,Advisor,ADV0004,CRM Memory for ADV0004,Prior recommendation feedback improved ranking weight.,"{""advisor_id"": ""ADV0004"", ""managed_revenue_pct"": 33.63, ""crm_activity_count"": 57}",0.8017,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0004
MEM00000016,Recommendation Memory,Advisor,ADV0004,Recommendation Memory for ADV0004,Advisor has recurring managed revenue opportunity.,"{""advisor_id"": ""ADV0004"", ""managed_revenue_pct"": 33.63, ""crm_activity_count"": 57}",0.7015,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0004
MEM00000017,Advisor Memory,Advisor,ADV0005,Advisor Memory for ADV0005,AGP goal progress requires manager review.,"{""advisor_id"": ""ADV0005"", ""managed_revenue_pct"": 24.98, ""crm_activity_count"": 54}",0.7956,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0005
MEM00000018,Revenue Memory,Advisor,ADV0005,Revenue Memory for ADV0005,Recent CRM activity indicates client engagement gap.,"{""advisor_id"": ""ADV0005"", ""managed_revenue_pct"": 24.98, ""crm_activity_count"": 54}",0.8666,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0005
MEM00000019,CRM Memory,Advisor,ADV0005,CRM Memory for ADV0005,Recent CRM activity indicates client engagement gap.,"{""advisor_id"": ""ADV0005"", ""managed_revenue_pct"": 24.98, ""crm_activity_count"": 54}",0.8281,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0005
MEM00000020,Recommendation Memory,Advisor,ADV0005,Recommendation Memory for ADV0005,Prior recommendation feedback improved ranking weight.,"{""advisor_id"": ""ADV0005"", ""managed_revenue_pct"": 24.98, ""crm_activity_count"": 54}",0.7674,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0005
MEM00000021,Advisor Memory,Advisor,ADV0006,Advisor Memory for ADV0006,AGP goal progress requires manager review.,"{""advisor_id"": ""ADV0006"", ""managed_revenue_pct"": 28.48, ""crm_activity_count"": 47}",0.8064,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0006
MEM00000022,Revenue Memory,Advisor,ADV0006,Revenue Memory for ADV0006,Advisor has recurring managed revenue opportunity.,"{""advisor_id"": ""ADV0006"", ""managed_revenue_pct"": 28.48, ""crm_activity_count"": 47}",0.8056,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0006
MEM00000023,CRM Memory,Advisor,ADV0006,CRM Memory for ADV0006,Recent CRM activity indicates client engagement gap.,"{""advisor_id"": ""ADV0006"", ""managed_revenue_pct"": 28.48, ""crm_activity_count"": 47}",0.7631,2025-01-01 00:00:00,2025-12-31 00:00:00,2025-12-31 00:00:00,demo_generator,Active,ADV0006
