feature_snapshot_id,entity_type,entity_id,feature_group,feature_json,feature_version,snapshot_ts,status,advisor_id
FEAT00000001,Advisor,ADV0001,advisor_growth_features,"{""revenue_ltm"": 79565.74, ""nnm_ltm"": -565710.55, ""managed_revenue_pct"": 27.15, ""crm_activity_count"": 69, ""household_count"": 18, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0001
FEAT00000002,Advisor,ADV0002,advisor_growth_features,"{""revenue_ltm"": 18575.31, ""nnm_ltm"": 575940.92, ""managed_revenue_pct"": 26.95, ""crm_activity_count"": 65, ""household_count"": 17, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0002
FEAT00000003,Advisor,ADV0003,advisor_growth_features,"{""revenue_ltm"": 178601.96, ""nnm_ltm"": -755003.36, ""managed_revenue_pct"": 26.84, ""crm_activity_count"": 62, ""household_count"": 16, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0003
FEAT00000004,Advisor,ADV0004,advisor_growth_features,"{""revenue_ltm"": 13097.43, ""nnm_ltm"": -145542.05, ""managed_revenue_pct"": 33.63, ""crm_activity_count"": 57, ""household_count"": 14, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0004
FEAT00000005,Advisor,ADV0005,advisor_growth_features,"{""revenue_ltm"": 34524.58, ""nnm_ltm"": -8682.42, ""managed_revenue_pct"": 24.98, ""crm_activity_count"": 54, ""household_count"": 12, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0005
FEAT00000006,Advisor,ADV0006,advisor_growth_features,"{""revenue_ltm"": 41383.7, ""nnm_ltm"": -68674.43, ""managed_revenue_pct"": 28.48, ""crm_activity_count"": 47, ""household_count"": 18, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0006
FEAT00000007,Advisor,ADV0007,advisor_growth_features,"{""revenue_ltm"": 131721.46, ""nnm_ltm"": -709464.62, ""managed_revenue_pct"": 30.91, ""crm_activity_count"": 65, ""household_count"": 13, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0007
FEAT00000008,Advisor,ADV0008,advisor_growth_features,"{""revenue_ltm"": 28923.76, ""nnm_ltm"": 254148.22, ""managed_revenue_pct"": 30.91, ""crm_activity_count"": 42, ""household_count"": 17, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0008
FEAT00000009,Advisor,ADV0009,advisor_growth_features,"{""revenue_ltm"": 13652.51, ""nnm_ltm"": 171616.26, ""managed_revenue_pct"": 28.29, ""crm_activity_count"": 49, ""household_count"": 18, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0009
FEAT00000010,Advisor,ADV0010,advisor_growth_features,"{""revenue_ltm"": 82322.36, ""nnm_ltm"": 50479.55, ""managed_revenue_pct"": 23.59, ""crm_activity_count"": 68, ""household_count"": 17, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0010
FEAT00000011,Advisor,ADV0011,advisor_growth_features,"{""revenue_ltm"": 73216.7, ""nnm_ltm"": -34075.28, ""managed_revenue_pct"": 24.51, ""crm_activity_count"": 36, ""household_count"": 13, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0011
FEAT00000012,Advisor,ADV0012,advisor_growth_features,"{""revenue_ltm"": 88479.25, ""nnm_ltm"": -305460.61, ""managed_revenue_pct"": 26.84, ""crm_activity_count"": 40, ""household_count"": 13, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0012
FEAT00000013,Advisor,ADV0013,advisor_growth_features,"{""revenue_ltm"": 17578.07, ""nnm_ltm"": 90254.67, ""managed_revenue_pct"": 25.62, ""crm_activity_count"": 44, ""household_count"": 18, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0013
FEAT00000014,Advisor,ADV0014,advisor_growth_features,"{""revenue_ltm"": 192497.16, ""nnm_ltm"": -243249.51, ""managed_revenue_pct"": 27.14, ""crm_activity_count"": 65, ""household_count"": 11, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0014
FEAT00000015,Advisor,ADV0015,advisor_growth_features,"{""revenue_ltm"": 147903.58, ""nnm_ltm"": -881023.41, ""managed_revenue_pct"": 25.26, ""crm_activity_count"": 35, ""household_count"": 15, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0015
FEAT00000016,Advisor,ADV0016,advisor_growth_features,"{""revenue_ltm"": 170225.57, ""nnm_ltm"": -180268.57, ""managed_revenue_pct"": 29.92, ""crm_activity_count"": 66, ""household_count"": 11, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0016
FEAT00000017,Advisor,ADV0017,advisor_growth_features,"{""revenue_ltm"": 60091.66, ""nnm_ltm"": 48492.52, ""managed_revenue_pct"": 29.15, ""crm_activity_count"": 57, ""household_count"": 11, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0017
FEAT00000018,Advisor,ADV0018,advisor_growth_features,"{""revenue_ltm"": 90382.76, ""nnm_ltm"": -220351.46, ""managed_revenue_pct"": 27.6, ""crm_activity_count"": 51, ""household_count"": 15, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0018
FEAT00000019,Advisor,ADV0019,advisor_growth_features,"{""revenue_ltm"": 247446.84, ""nnm_ltm"": 596369.25, ""managed_revenue_pct"": 26.83, ""crm_activity_count"": 54, ""household_count"": 18, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0019
FEAT00000020,Advisor,ADV0020,advisor_growth_features,"{""revenue_ltm"": 107522.81, ""nnm_ltm"": 1138226.13, ""managed_revenue_pct"": 28.42, ""crm_activity_count"": 69, ""household_count"": 14, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0020
FEAT00000021,Advisor,ADV0021,advisor_growth_features,"{""revenue_ltm"": 109555.09, ""nnm_ltm"": -182585.38, ""managed_revenue_pct"": 25.16, ""crm_activity_count"": 41, ""household_count"": 13, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0021
FEAT00000022,Advisor,ADV0022,advisor_growth_features,"{""revenue_ltm"": 44199.52, ""nnm_ltm"": -167797.23, ""managed_revenue_pct"": 30.33, ""crm_activity_count"": 53, ""household_count"": 13, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0022
FEAT00000023,Advisor,ADV0023,advisor_growth_features,"{""revenue_ltm"": 120395.89, ""nnm_ltm"": -133938.01, ""managed_revenue_pct"": 24.86, ""crm_activity_count"": 57, ""household_count"": 10, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0023
FEAT00000024,Advisor,ADV0024,advisor_growth_features,"{""revenue_ltm"": 10022.13, ""nnm_ltm"": 122447.95, ""managed_revenue_pct"": 27.98, ""crm_activity_count"": 36, ""household_count"": 18, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0024
FEAT00000025,Advisor,ADV0025,advisor_growth_features,"{""revenue_ltm"": 178490.37, ""nnm_ltm"": -345700.67, ""managed_revenue_pct"": 28.81, ""crm_activity_count"": 49, ""household_count"": 14, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0025
FEAT00000026,Advisor,ADV0026,advisor_growth_features,"{""revenue_ltm"": 109597.68, ""nnm_ltm"": -401032.92, ""managed_revenue_pct"": 31.04, ""crm_activity_count"": 61, ""household_count"": 16, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0026
FEAT00000027,Advisor,ADV0027,advisor_growth_features,"{""revenue_ltm"": 6049.94, ""nnm_ltm"": -62513.0, ""managed_revenue_pct"": 27.78, ""crm_activity_count"": 67, ""household_count"": 11, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0027
FEAT00000028,Advisor,ADV0028,advisor_growth_features,"{""revenue_ltm"": 131538.76, ""nnm_ltm"": 328945.01, ""managed_revenue_pct"": 26.31, ""crm_activity_count"": 54, ""household_count"": 17, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0028
FEAT00000029,Advisor,ADV0029,advisor_growth_features,"{""revenue_ltm"": 65206.12, ""nnm_ltm"": 576178.46, ""managed_revenue_pct"": 26.11, ""crm_activity_count"": 53, ""household_count"": 18, ""agp_enrolled"": true}",1.0,2025-12-31 00:00:00,Active,ADV0029
