goal_id,goal_name,goal_type,target_value,target_unit,start_date,end_date,status,advisor_id,program_id
GOAL000001,NNM Growth Goal for ADV0001,NNM Growth,2577557.13,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0001,AGP2025
GOAL000002,New Households Goal for ADV0001,New Households,19,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0001,AGP2025
GOAL000003,Managed Revenue Goal for ADV0001,Managed Revenue,290713.59,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0001,AGP2025
GOAL000004,NNM Growth Goal for ADV0002,NNM Growth,2340662.23,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0002,AGP2025
GOAL000005,New Households Goal for ADV0002,New Households,29,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0002,AGP2025
GOAL000006,Managed Revenue Goal for ADV0002,Managed Revenue,730423.84,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0002,AGP2025
GOAL000007,NNM Growth Goal for ADV0003,NNM Growth,1376040.39,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0003,AGP2025
GOAL000008,New Households Goal for ADV0003,New Households,13,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0003,AGP2025
GOAL000009,Managed Revenue Goal for ADV0003,Managed Revenue,694270.98,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0003,AGP2025
GOAL000010,NNM Growth Goal for ADV0004,NNM Growth,3708118.96,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0004,AGP2025
GOAL000011,New Households Goal for ADV0004,New Households,26,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0004,AGP2025
GOAL000012,Managed Revenue Goal for ADV0004,Managed Revenue,789280.64,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0004,AGP2025
GOAL000013,NNM Growth Goal for ADV0005,NNM Growth,3873584.89,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0005,AGP2025
GOAL000014,New Households Goal for ADV0005,New Households,14,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0005,AGP2025
GOAL000015,Managed Revenue Goal for ADV0005,Managed Revenue,833194.06,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0005,AGP2025
GOAL000016,NNM Growth Goal for ADV0006,NNM Growth,3774027.07,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0006,AGP2025
GOAL000017,New Households Goal for ADV0006,New Households,24,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0006,AGP2025
GOAL000018,Managed Revenue Goal for ADV0006,Managed Revenue,874598.08,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0006,AGP2025
GOAL000019,NNM Growth Goal for ADV0007,NNM Growth,4622155.25,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0007,AGP2025
GOAL000020,New Households Goal for ADV0007,New Households,20,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0007,AGP2025
GOAL000021,Managed Revenue Goal for ADV0007,Managed Revenue,441837.81,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0007,AGP2025
GOAL000022,NNM Growth Goal for ADV0008,NNM Growth,1730874.5,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0008,AGP2025
GOAL000023,New Households Goal for ADV0008,New Households,14,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0008,AGP2025
GOAL000024,Managed Revenue Goal for ADV0008,Managed Revenue,765093.55,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0008,AGP2025
GOAL000025,NNM Growth Goal for ADV0009,NNM Growth,2360588.16,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0009,AGP2025
GOAL000026,New Households Goal for ADV0009,New Households,18,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0009,AGP2025
GOAL000027,Managed Revenue Goal for ADV0009,Managed Revenue,548871.89,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0009,AGP2025
GOAL000028,NNM Growth Goal for ADV0010,NNM Growth,1931460.25,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0010,AGP2025
GOAL000029,New Households Goal for ADV0010,New Households,29,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0010,AGP2025
GOAL000030,Managed Revenue Goal for ADV0010,Managed Revenue,757870.16,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0010,AGP2025
GOAL000031,NNM Growth Goal for ADV0011,NNM Growth,4441317.92,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0011,AGP2025
GOAL000032,New Households Goal for ADV0011,New Households,13,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0011,AGP2025
GOAL000033,Managed Revenue Goal for ADV0011,Managed Revenue,792613.88,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0011,AGP2025
