kpi_id,kpi_name,kpi_type,target_value,current_value,expected_value,attainment_pct,on_track_flag,status,advisor_id,goal_id
KPI000001,NNM Growth KPI,NNM Growth,2577557.13,2200232.17,1933167.85,85.36,true,On Track,ADV0001,GOAL000001
KPI000002,New Households KPI,New Households,19,19.24,14.25,101.28,true,On Track,ADV0001,GOAL000002
KPI000003,Managed Revenue KPI,Managed Revenue,290713.59,204677.06,218035.2,70.41,false,Off Track,ADV0001,GOAL000003
KPI000004,NNM Growth KPI,NNM Growth,2340662.23,1237320.64,1755496.67,52.86,false,Off Track,ADV0002,GOAL000004
KPI000005,New Households KPI,New Households,29,20.02,21.75,69.02,false,Off Track,ADV0002,GOAL000005
KPI000006,Managed Revenue KPI,Managed Revenue,730423.84,636900.2,547817.88,87.2,true,On Track,ADV0002,GOAL000006
KPI000007,NNM Growth KPI,NNM Growth,1376040.39,632857.58,1032030.29,45.99,false,Off Track,ADV0003,GOAL000007
KPI000008,New Households KPI,New Households,13,9.44,9.75,72.58,false,Off Track,ADV0003,GOAL000008
KPI000009,Managed Revenue KPI,Managed Revenue,694270.98,585970.33,520703.24,84.4,true,On Track,ADV0003,GOAL000009
KPI000010,NNM Growth KPI,NNM Growth,3708118.96,2839721.46,2781089.22,76.58,true,On Track,ADV0004,GOAL000010
KPI000011,New Households KPI,New Households,26,24.05,19.5,92.49,true,On Track,ADV0004,GOAL000011
KPI000012,Managed Revenue KPI,Managed Revenue,789280.64,482463.83,591960.48,61.13,false,Off Track,ADV0004,GOAL000012
KPI000013,NNM Growth KPI,NNM Growth,3873584.89,3621772.44,2905188.67,93.5,true,On Track,ADV0005,GOAL000013
KPI000014,New Households KPI,New Households,14,10.89,10.5,77.79,true,On Track,ADV0005,GOAL000014
KPI000015,Managed Revenue KPI,Managed Revenue,833194.06,635242.73,624895.54,76.24,true,On Track,ADV0005,GOAL000015
KPI000016,NNM Growth KPI,NNM Growth,3774027.07,1779089.07,2830520.3,47.14,false,Off Track,ADV0006,GOAL000016
KPI000017,New Households KPI,New Households,24,21.55,18.0,89.78,true,On Track,ADV0006,GOAL000017
KPI000018,Managed Revenue KPI,Managed Revenue,874598.08,964643.91,655948.56,110.3,true,On Track,ADV0006,GOAL000018
