learning_signal_id,signal_type,signal_value,signal_summary,created_ts,status,outcome_id,recommendation_id
LEARN00000001,Recommendation Reward,0.8732,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000001,REC00000001
LEARN00000002,Recommendation Reward,-0.2399,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000002,REC00000003
LEARN00000003,Recommendation Reward,-0.2256,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000003,REC00000004
LEARN00000004,Recommendation Reward,0.7465,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000004,REC00000005
LEARN00000005,Recommendation Reward,0.9299,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000005,REC00000008
LEARN00000006,Recommendation Reward,0.6857,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000006,REC00000010
LEARN00000007,Recommendation Reward,0.7972,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000007,REC00000011
LEARN00000008,Recommendation Reward,0.9895,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000008,REC00000012
LEARN00000009,Recommendation Reward,0.7907,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000009,REC00000014
LEARN00000010,Recommendation Reward,-0.2937,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000010,REC00000016
LEARN00000011,Recommendation Reward,0.9076,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000011,REC00000017
LEARN00000012,Recommendation Reward,0.7389,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000012,REC00000018
LEARN00000013,Recommendation Reward,0.7096,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000013,REC00000019
LEARN00000014,Recommendation Reward,1.0086,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000014,REC00000021
LEARN00000015,Recommendation Reward,0.9317,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000015,REC00000023
LEARN00000016,Recommendation Reward,0.6737,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000016,REC00000024
LEARN00000017,Recommendation Reward,0.9143,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000017,REC00000025
LEARN00000018,Recommendation Reward,0.8018,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000018,REC00000026
LEARN00000019,Recommendation Reward,1.015,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000019,REC00000027
LEARN00000020,Recommendation Reward,0.759,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000020,REC00000028
LEARN00000021,Recommendation Reward,0.825,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000021,REC00000029
LEARN00000022,Recommendation Reward,0.9706,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000022,REC00000031
LEARN00000023,Recommendation Reward,-0.1864,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000023,REC00000037
LEARN00000024,Recommendation Reward,0.7738,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000024,REC00000040
LEARN00000025,Recommendation Reward,-0.1883,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000025,REC00000042
LEARN00000026,Recommendation Reward,0.8964,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000026,REC00000043
LEARN00000027,Recommendation Reward,-0.2854,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000027,REC00000044
LEARN00000028,Recommendation Reward,-0.3174,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000028,REC00000046
LEARN00000029,Recommendation Reward,0.7117,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000029,REC00000049
LEARN00000030,Recommendation Reward,-0.1788,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000030,REC00000050
LEARN00000031,Recommendation Reward,0.8909,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000031,REC00000051
