notification_id,notification_type,title,message,severity,created_ts,status,user_id
NOTIF00000001,Recommendation Accepted,Notification for ADV0007,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0007
NOTIF00000002,Recommendation Accepted,Notification for ADV0009,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0009
NOTIF00000003,AGP Off Track,Notification for ADV0011,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0011
NOTIF00000004,Recommendation Accepted,Notification for ADV0012,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0012
NOTIF00000005,AGP Off Track,Notification for ADV0019,System generated alert for manager review.,High,2025-12-31 00:00:00,Open,USR_ADV0019
NOTIF00000006,Recommendation Accepted,Notification for ADV0030,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0030
NOTIF00000007,AUM Decline Alert,Notification for ADV0039,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0039
NOTIF00000008,AGP Off Track,Notification for ADV0044,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0044
NOTIF00000009,Recommendation Accepted,Notification for ADV0049,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0049
NOTIF00000010,AUM Decline Alert,Notification for ADV0055,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0055
NOTIF00000011,Recommendation Accepted,Notification for ADV0058,System generated alert for manager review.,High,2025-12-31 00:00:00,Open,USR_ADV0058
NOTIF00000012,AUM Decline Alert,Notification for ADV0060,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0060
NOTIF00000013,AUM Decline Alert,Notification for ADV0062,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0062
NOTIF00000014,AGP Off Track,Notification for ADV0064,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0064
NOTIF00000015,Recommendation Accepted,Notification for ADV0066,System generated alert for manager review.,High,2025-12-31 00:00:00,Open,USR_ADV0066
NOTIF00000016,AGP Off Track,Notification for ADV0068,System generated alert for manager review.,High,2025-12-31 00:00:00,Open,USR_ADV0068
NOTIF00000017,AUM Decline Alert,Notification for ADV0072,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0072
NOTIF00000018,High Opportunity,Notification for ADV0076,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0076
NOTIF00000019,AGP Off Track,Notification for ADV0081,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0081
NOTIF00000020,High Opportunity,Notification for ADV0084,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0084
NOTIF00000021,AUM Decline Alert,Notification for ADV0085,System generated alert for manager review.,High,2025-12-31 00:00:00,Open,USR_ADV0085
NOTIF00000022,AGP Off Track,Notification for ADV0086,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0086
NOTIF00000023,Recommendation Accepted,Notification for ADV0093,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0093
NOTIF00000024,High Opportunity,Notification for ADV0094,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0094
NOTIF00000025,AGP Off Track,Notification for ADV0096,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0096
NOTIF00000026,AUM Decline Alert,Notification for ADV0098,System generated alert for manager review.,High,2025-12-31 00:00:00,Open,USR_ADV0098
NOTIF00000027,High Opportunity,Notification for ADV0099,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0099
NOTIF00000028,AGP Off Track,Notification for ADV0101,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0101
NOTIF00000029,AUM Decline Alert,Notification for ADV0103,System generated alert for manager review.,Medium,2025-12-31 00:00:00,Open,USR_ADV0103
NOTIF00000030,High Opportunity,Notification for ADV0108,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0108
NOTIF00000031,AGP Off Track,Notification for ADV0115,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0115
NOTIF00000032,AGP Off Track,Notification for ADV0124,System generated alert for manager review.,High,2025-12-31 00:00:00,Open,USR_ADV0124
NOTIF00000033,High Opportunity,Notification for ADV0126,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0126
NOTIF00000034,Recommendation Accepted,Notification for ADV0136,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0136
NOTIF00000035,High Opportunity,Notification for ADV0140,System generated alert for manager review.,High,2025-12-31 00:00:00,Open,USR_ADV0140
NOTIF00000036,Recommendation Accepted,Notification for ADV0146,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0146
NOTIF00000037,AUM Decline Alert,Notification for ADV0152,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0152
NOTIF00000038,High Opportunity,Notification for ADV0163,System generated alert for manager review.,Low,2025-12-31 00:00:00,Open,USR_ADV0163
