opportunity_id,opportunity_type,title,description,score,priority,status,created_ts,advisor_id,household_id,prediction_id
OPP00000001,NNM Growth,NNM Growth for ADV0001,"Detected nnm growth opportunity using features, CRM and graph context.",0.7279,Low,Open,2025-12-31 00:00:00,ADV0001,HH00007,PRED00000002
OPP00000002,Managed Account Expansion,Managed Account Expansion for ADV0001,"Detected managed account expansion opportunity using features, CRM and graph context.",0.5674,High,Open,2025-12-31 00:00:00,ADV0001,HH00017,PRED00000002
OPP00000003,CRM Engagement Gap,CRM Engagement Gap for ADV0001,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8918,High,Open,2025-12-31 00:00:00,ADV0001,HH00007,PRED00000004
OPP00000004,NNM Growth,NNM Growth for ADV0001,"Detected nnm growth opportunity using features, CRM and graph context.",0.7875,Low,Open,2025-12-31 00:00:00,ADV0001,HH00016,PRED00000001
OPP00000005,AUM Retention,AUM Retention for ADV0002,"Detected aum retention opportunity using features, CRM and graph context.",0.6994,High,Open,2025-12-31 00:00:00,ADV0002,HH00028,PRED00000006
OPP00000006,AUM Retention,AUM Retention for ADV0002,"Detected aum retention opportunity using features, CRM and graph context.",0.8536,High,Open,2025-12-31 00:00:00,ADV0002,HH00019,PRED00000005
OPP00000007,NNM Growth,NNM Growth for ADV0002,"Detected nnm growth opportunity using features, CRM and graph context.",0.8359,High,Open,2025-12-31 00:00:00,ADV0002,HH00032,PRED00000007
OPP00000008,AGP Goal Recovery,AGP Goal Recovery for ADV0003,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.8503,Low,Open,2025-12-31 00:00:00,ADV0003,HH00049,PRED00000012
OPP00000009,Managed Account Expansion,Managed Account Expansion for ADV0003,"Detected managed account expansion opportunity using features, CRM and graph context.",0.8269,Low,Open,2025-12-31 00:00:00,ADV0003,HH00039,PRED00000009
OPP00000010,CRM Engagement Gap,CRM Engagement Gap for ADV0003,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.7615,Medium,Open,2025-12-31 00:00:00,ADV0003,HH00041,PRED00000009
OPP00000011,Managed Account Expansion,Managed Account Expansion for ADV0004,"Detected managed account expansion opportunity using features, CRM and graph context.",0.5424,Medium,Open,2025-12-31 00:00:00,ADV0004,HH00061,PRED00000015
OPP00000012,NNM Growth,NNM Growth for ADV0004,"Detected nnm growth opportunity using features, CRM and graph context.",0.4993,Medium,Open,2025-12-31 00:00:00,ADV0004,HH00054,PRED00000013
OPP00000013,AGP Goal Recovery,AGP Goal Recovery for ADV0005,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.7024,High,Open,2025-12-31 00:00:00,ADV0005,HH00066,PRED00000017
