outcome_id,outcome_type,outcome_value,outcome_summary,created_ts,status,feedback_id
OUT00000001,Client Engaged,30030.12,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000001
OUT00000002,NNM Impact,0.0,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000002
OUT00000003,NNM Impact,0.0,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000003
OUT00000004,NNM Impact,35630.46,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000004
OUT00000005,Client Engaged,30571.92,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000005
OUT00000006,Revenue Impact,24595.41,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000006
OUT00000007,Revenue Impact,14416.7,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000007
OUT00000008,NNM Impact,47721.49,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000008
OUT00000009,NNM Impact,6009.16,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000009
OUT00000010,Client Engaged,0.0,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000010
OUT00000011,NNM Impact,38999.19,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000011
OUT00000012,Revenue Impact,16915.62,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000012
OUT00000013,Revenue Impact,22201.04,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000013
OUT00000014,Client Engaged,18163.85,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000014
OUT00000015,Client Engaged,39949.63,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000015
OUT00000016,Revenue Impact,20156.02,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000016
OUT00000017,Client Engaged,12557.07,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000017
OUT00000018,Meeting Scheduled,17030.83,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000018
OUT00000019,Meeting Scheduled,32351.04,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000019
OUT00000020,NNM Impact,8076.6,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000020
OUT00000021,Meeting Scheduled,13076.46,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000021
OUT00000022,Revenue Impact,25529.22,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000022
OUT00000023,Client Engaged,0.0,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000023
OUT00000024,NNM Impact,12547.02,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000024
OUT00000025,Meeting Scheduled,0.0,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000025
OUT00000026,NNM Impact,37044.63,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000026
OUT00000027,Meeting Scheduled,0.0,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000027
OUT00000028,NNM Impact,0.0,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000028
OUT00000029,Revenue Impact,35100.56,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000029
OUT00000030,NNM Impact,0.0,Simulated recommendation outcome.,2025-12-31 00:00:00,Active,FDBK00000030
