product_category_id,product_category_name,category_group,status
PC001,Brokerage,Transactional,Active
PC002,Managed Accounts,Advisory,Active
PC003,Mutual Funds,Investment Products,Active
PC004,ETFs,Investment Products,Active
PC005,Equities,Investment Products,Active
PC006,Fixed Income,Investment Products,Active
PC007,Alternatives,Alternative Investments,Active
PC008,Cash Management,Banking,Active
PC009,Retirement Products,Planning,Active
PC010,Insurance Products,Risk Management,Active
PC011,529 Plans,Education Planning,Active
PC012,Structured Products,Investment Products,Active
