similarity_id,source_entity_type,source_entity_id,target_entity_type,target_entity_id,similarity_type,similarity_score,explanation,created_ts,source_advisor_id,target_advisor_id
SIM00000001,Advisor,ADV0001,Advisor,ADV0045,Advisor Peer Similarity,0.6552,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0001,ADV0045
SIM00000002,Advisor,ADV0001,Advisor,ADV0151,Advisor Peer Similarity,0.9515,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0001,ADV0151
SIM00000003,Advisor,ADV0001,Advisor,ADV0125,Advisor Peer Similarity,0.7968,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0001,ADV0125
SIM00000004,Advisor,ADV0002,Advisor,ADV0012,Advisor Peer Similarity,0.7984,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0002,ADV0012
SIM00000005,Advisor,ADV0002,Advisor,ADV0039,Advisor Peer Similarity,0.8878,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0002,ADV0039
SIM00000006,Advisor,ADV0002,Advisor,ADV0097,Advisor Peer Similarity,0.9546,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0002,ADV0097
SIM00000007,Advisor,ADV0003,Advisor,ADV0097,Advisor Peer Similarity,0.7297,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0003,ADV0097
SIM00000008,Advisor,ADV0003,Advisor,ADV0011,Advisor Peer Similarity,0.7491,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0003,ADV0011
SIM00000009,Advisor,ADV0003,Advisor,ADV0129,Advisor Peer Similarity,0.8184,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0003,ADV0129
SIM00000010,Advisor,ADV0004,Advisor,ADV0113,Advisor Peer Similarity,0.7788,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0004,ADV0113
SIM00000011,Advisor,ADV0004,Advisor,ADV0005,Advisor Peer Similarity,0.6969,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0004,ADV0005
SIM00000012,Advisor,ADV0004,Advisor,ADV0066,Advisor Peer Similarity,0.8977,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0004,ADV0066
SIM00000013,Advisor,ADV0005,Advisor,ADV0141,Advisor Peer Similarity,0.8572,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0005,ADV0141
SIM00000014,Advisor,ADV0005,Advisor,ADV0153,Advisor Peer Similarity,0.8241,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0005,ADV0153
SIM00000015,Advisor,ADV0005,Advisor,ADV0166,Advisor Peer Similarity,0.9576,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0005,ADV0166
SIM00000016,Advisor,ADV0006,Advisor,ADV0163,Advisor Peer Similarity,0.8965,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0006,ADV0163
SIM00000017,Advisor,ADV0006,Advisor,ADV0149,Advisor Peer Similarity,0.8711,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0006,ADV0149
SIM00000018,Advisor,ADV0006,Advisor,ADV0130,Advisor Peer Similarity,0.9067,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0006,ADV0130
SIM00000019,Advisor,ADV0007,Advisor,ADV0102,Advisor Peer Similarity,0.81,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0007,ADV0102
SIM00000020,Advisor,ADV0007,Advisor,ADV0100,Advisor Peer Similarity,0.7164,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0007,ADV0100
SIM00000021,Advisor,ADV0007,Advisor,ADV0104,Advisor Peer Similarity,0.6701,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0007,ADV0104
SIM00000022,Advisor,ADV0008,Advisor,ADV0136,Advisor Peer Similarity,0.8927,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0008,ADV0136
SIM00000023,Advisor,ADV0008,Advisor,ADV0006,Advisor Peer Similarity,0.9024,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0008,ADV0006
SIM00000024,Advisor,ADV0008,Advisor,ADV0009,Advisor Peer Similarity,0.7755,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0008,ADV0009
SIM00000025,Advisor,ADV0009,Advisor,ADV0047,Advisor Peer Similarity,0.7366,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0009,ADV0047
SIM00000026,Advisor,ADV0009,Advisor,ADV0016,Advisor Peer Similarity,0.8266,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0009,ADV0016
SIM00000027,Advisor,ADV0009,Advisor,ADV0039,Advisor Peer Similarity,0.6765,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0009,ADV0039
SIM00000028,Advisor,ADV0010,Advisor,ADV0001,Advisor Peer Similarity,0.7568,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0010,ADV0001
SIM00000029,Advisor,ADV0010,Advisor,ADV0002,Advisor Peer Similarity,0.8298,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0010,ADV0002
SIM00000030,Advisor,ADV0010,Advisor,ADV0064,Advisor Peer Similarity,0.6747,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0010,ADV0064
SIM00000031,Advisor,ADV0011,Advisor,ADV0136,Advisor Peer Similarity,0.6749,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0011,ADV0136
SIM00000032,Advisor,ADV0011,Advisor,ADV0133,Advisor Peer Similarity,0.9522,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0011,ADV0133
SIM00000033,Advisor,ADV0011,Advisor,ADV0144,Advisor Peer Similarity,0.8813,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0011,ADV0144
SIM00000034,Advisor,ADV0012,Advisor,ADV0039,Advisor Peer Similarity,0.8509,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0012,ADV0039
SIM00000035,Advisor,ADV0012,Advisor,ADV0138,Advisor Peer Similarity,0.9246,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0012,ADV0138
SIM00000036,Advisor,ADV0012,Advisor,ADV0041,Advisor Peer Similarity,0.8229,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0012,ADV0041
SIM00000037,Advisor,ADV0013,Advisor,ADV0156,Advisor Peer Similarity,0.9517,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0013,ADV0156
